GSM1304870_10_C_HPC.CEL,GSM1304870
GSM1304871_11_C_HPC.CEL,GSM1304871
GSM1304872_12_C_HPC.CEL,GSM1304872
GSM1304873_13_C_HPC.CEL,GSM1304873
GSM1304874_14_C_HPC.CEL,GSM1304874
GSM1304875_15_C_HPC.CEL,GSM1304875
GSM1304876_16_C_HPC.CEL,GSM1304876
GSM1304877_17_C_HPC.CEL,GSM1304877
GSM1304878_18_C_HPC.CEL,GSM1304878
GSM1304879_19_C_HPC.CEL,GSM1304879
GSM1304880_1_C_HPC.CEL,GSM1304880
GSM1304881_2_C_HPC.CEL,GSM1304881
GSM1304882_3_C_HPC.CEL,GSM1304882
GSM1304883_4_C_HPC.CEL,GSM1304883
GSM1304884_5_C_HPC.CEL,GSM1304884
GSM1304885_6_C_HPC.CEL,GSM1304885
GSM1304886_7_C_HPC.CEL,GSM1304886
GSM1304887_8_C_HPC.CEL,GSM1304887
GSM1304905_10_SCZ_HPC.CEL,GSM1304905
GSM1304906_11_SCZ_HPC.CEL,GSM1304906
GSM1304907_12_SCZ_HPC.CEL,GSM1304907
GSM1304908_14_SCZ_HPC.CEL,GSM1304908
GSM1304909_18_SCZ_HPC.CEL,GSM1304909
GSM1304910_19_SCZ_HPC.CEL,GSM1304910
GSM1304911_1_SCZ_HPC.CEL,GSM1304911
GSM1304912_2_SCZ_HPC.CEL,GSM1304912
GSM1304913_3_SCZ_HPC.CEL,GSM1304913
GSM1304914_4_SCZ_HPC.CEL,GSM1304914
GSM1304915_5_SCZ_HPC.CEL,GSM1304915
GSM1304916_6_SCZ_HPC.CEL,GSM1304916
GSM1304917_7_SCZ_HPC.CEL,GSM1304917
GSM1304918_8_SCZ_HPC.CEL,GSM1304918
GSM1304919_9_SCZ_HPC.CEL,GSM1304919
GSM1304937_10_C_B46.CEL,GSM1304937
GSM1304938_11_C_B46.CEL,GSM1304938
GSM1304939_12_C_B46.CEL,GSM1304939
GSM1304940_13_C_B46.CEL,GSM1304940
GSM1304941_14_C_B46.CEL,GSM1304941
GSM1304942_15_C_B46.CEL,GSM1304942
GSM1304943_16_C_B46.CEL,GSM1304943
GSM1304944_17_C_B46.CEL,GSM1304944
GSM1304945_18_C_B46.CEL,GSM1304945
GSM1304946_19_C_B46.CEL,GSM1304946
GSM1304947_1_C_B46.CEL,GSM1304947
GSM1304948_2_C_B46.CEL,GSM1304948
GSM1304949_3_C_B46.CEL,GSM1304949
GSM1304950_4_C_B46.CEL,GSM1304950
GSM1304951_5_C_B46.CEL,GSM1304951
GSM1304952_6_C_B46.CEL,GSM1304952
GSM1304953_7_C_B46.CEL,GSM1304953
GSM1304954_8_C_B46.CEL,GSM1304954
GSM1304955_9_C_B46.CEL,GSM1304955
GSM1304973_10_SCZ_B46.CEL,GSM1304973
GSM1304974_11_SCZ_B46.CEL,GSM1304974
GSM1304975_12_SCZ_B46.CEL,GSM1304975
GSM1304976_13_SCZ_B46.CEL,GSM1304976
GSM1304977_14_SCZ_B46.CEL,GSM1304977
GSM1304978_16_SCZ_B46.CEL,GSM1304978
GSM1304979_18_SCZ_B46.CEL,GSM1304979
GSM1304980_19_SCZ_B46.CEL,GSM1304980
GSM1304981_1_SCZ_B46.CEL,GSM1304981
GSM1304982_3_SCZ_B46.CEL,GSM1304982
GSM1304983_4_SCZ_B46.CEL,GSM1304983
GSM1304984_5_SCZ_B46.CEL,GSM1304984
GSM1304985_6_SCZ_B46.CEL,GSM1304985
GSM1304986_7_SCZ_B46.CEL,GSM1304986
GSM1304987_9_SCZ_B46.CEL,GSM1304987
GSM1305005_EA11002_238259_HG-U133_PLUS_2_STRC1.CEL,GSM1305005
GSM1305006_EA11002_238263_HG-U133_PLUS_2_STRC2.CEL,GSM1305006
GSM1305007_EA11002_238267_HG-U133_PLUS_2_STRC3.CEL,GSM1305007
GSM1305008_EA11002_238271_HG-U133_PLUS_2_STRC4.CEL,GSM1305008
GSM1305009_EA11002_238275_HG-U133_PLUS_2_STRC5.CEL,GSM1305009
GSM1305010_EA11002_238279_HG-U133_PLUS_2_STRC6.CEL,GSM1305010
GSM1305011_EA11002_238283_HG-U133_PLUS_2_STRC7.CEL,GSM1305011
GSM1305012_EA11002_238287_HG-U133_PLUS_2_STRC8.CEL,GSM1305012
GSM1305013_EA11002_238291_HG-U133_PLUS_2_STRC9.CEL,GSM1305013
GSM1305014_EA11002_238295_HG-U133_PLUS_2_STRC10.CEL,GSM1305014
GSM1305015_EA11002_238299_HG-U133_PLUS_2_STRC11.CEL,GSM1305015
GSM1305016_EA11002_238303_HG-U133_PLUS_2_STRC12.CEL,GSM1305016
GSM1305017_EA11002_238307_HG-U133_PLUS_2_STRC13.CEL,GSM1305017
GSM1305018_EA11002_238311_HG-U133_PLUS_2_STRC14.CEL,GSM1305018
GSM1305019_EA11002_238315_HG-U133_PLUS_2_STRC15.CEL,GSM1305019
GSM1305020_EA11002_238319_HG-U133_PLUS_2_STRC16.CEL,GSM1305020
GSM1305021_EA11002_238323_HG-U133_PLUS_2_STRC17.CEL,GSM1305021
GSM1305022_EA11002_238327_HG-U133_PLUS_2_STRC18.CEL,GSM1305022
GSM1305039_EA11002_238260_HG-U133_PLUS_2_STRS1.CEL,GSM1305039
GSM1305040_EA11002_238264_HG-U133_PLUS_2_STRS2.CEL,GSM1305040
GSM1305041_EA11002_238268_HG-U133_PLUS_2_STRS3.CEL,GSM1305041
GSM1305042_EA11002_238272_HG-U133_PLUS_2_STRS4.CEL,GSM1305042
GSM1305043_EA11002_238276_HG-U133_PLUS_2_STRS5.CEL,GSM1305043
GSM1305044_EA11002_238280_HG-U133_PLUS_2_STRS6.CEL,GSM1305044
GSM1305045_EA11002_238284_HG-U133_PLUS_2_STRS7.CEL,GSM1305045
GSM1305046_EA11002_238288_HG-U133_PLUS_2_STRS8.CEL,GSM1305046
GSM1305047_EA11002_238292_HG-U133_PLUS_2_STRS9.CEL,GSM1305047
GSM1305048_EA11002_238296_HG-U133_PLUS_2_STRS10.CEL,GSM1305048
GSM1305049_EA11002_238300_HG-U133_PLUS_2_STRS11.CEL,GSM1305049
GSM1305050_EA11002_238304_HG-U133_PLUS_2_STRS12.CEL,GSM1305050
GSM1305051_EA11002_238308_HG-U133_PLUS_2_STRS13.CEL,GSM1305051
GSM1305053_EA11002_238316_HG-U133_PLUS_2_STRS15.CEL,GSM1305053
GSM1305054_EA11002_238320_HG-U133_PLUS_2_STRS16.CEL,GSM1305054
GSM1305055_EA11002_238324_HG-U133_PLUS_2_STRS17.CEL,GSM1305055
GSM1305056_EA11002_238328_HG-U133_PLUS_2_STRS18.CEL,GSM1305056
